hex_id,dft_Emp_Wa,dft_Edu_Wa,dft_Hth_Wa,dft_Lei_Wa,dft_Shp_Wa,dft_Res_Wa,dft_All_Wa,dft_Emp_Cy,dft_Edu_Cy,dft_Hth_Cy,dft_Lei_Cy,dft_Shp_Cy,dft_Res_Cy,dft_All_Cy,dft_Emp_PT,dft_Edu_PT,dft_Hth_PT,dft_Lei_PT,dft_Shp_PT,dft_Res_PT,dft_All_PT,dft_Emp_Ca,dft_Edu_Ca,dft_Hth_Ca,dft_Lei_Ca,dft_Shp_Ca,dft_Res_Ca,dft_All_Ca,dft_Emp_To,dft_Edu_To,dft_Hth_To,dft_Lei_To,dft_Shp_To,dft_Res_To,dft_All_To,dft_Emp_Wa_100,dft_Edu_Wa_100,dft_Hth_Wa_100,dft_Lei_Wa_100,dft_Shp_Wa_100,dft_Res_Wa_100,dft_All_Wa_100,dft_Emp_Cy_100,dft_Edu_Cy_100,dft_Hth_Cy_100,dft_Lei_Cy_100,dft_Shp_Cy_100,dft_Res_Cy_100,dft_All_Cy_100,dft_Emp_PT_100,dft_Edu_PT_100,dft_Hth_PT_100,dft_Lei_PT_100,dft_Shp_PT_100,dft_Res_PT_100,dft_All_PT_100,dft_Emp_Ca_100,dft_Edu_Ca_100,dft_Hth_Ca_100,dft_Lei_Ca_100,dft_Shp_Ca_100,dft_Res_Ca_100,dft_All_Ca_100,dft_Emp_To_100,dft_Edu_To_100,dft_Hth_To_100,dft_Lei_To_100,dft_Shp_To_100,dft_Res_To_100,dft_All_To_100
NS00147,28.39,7.83,13.85,24.8,22.85,41.53,22.29,64.88,33.5,24.08,46.37,41.26,70.48,54.26,55.29,34.73,31.63,39.7,33.94,52.45,43.11,78.39,53.15,54.24,69.01,67.98,83.18,71.29,50.89,20.74,23.86,33.78,29.38,49.34,35.75,4.0,1.0,6.0,3.0,4.0,4.0,2.0,43.0,2.0,3.0,6.0,4.0,34.0,9.0,26.0,3.0,7.0,7.0,5.0,18.0,7.0,42.0,1.0,2.0,4.0,2.0,31.0,3.0,21.0,2.0,6.0,5.0,5.0,7.0,5.0
NS00124,27.36,13.4,4.5,23.65,18.19,39.06,21.42,61.81,36.47,22.02,41.31,41.54,67.95,52.29,53.25,38.11,33.96,41.23,36.98,52.17,44.13,78.31,52.29,53.48,67.76,69.47,83.48,71.35,48.92,25.27,21.02,33.65,28.82,47.86,35.78,4.0,2.0,3.0,2.0,3.0,3.0,2.0,32.0,2.0,3.0,3.0,4.0,25.0,7.0,23.0,4.0,8.0,8.0,6.0,17.0,8.0,41.0,1.0,1.0,3.0,3.0,34.0,3.0,17.0,2.0,5.0,5.0,5.0,6.0,5.0
NS00101,27.99,23.73,5.88,21.68,15.22,40.01,23.21,59.28,36.98,20.91,34.41,33.61,65.54,48.6,54.64,43.17,36.54,41.59,37.21,53.26,45.71,77.46,45.24,49.06,61.35,62.1,82.69,66.57,49.6,32.88,22.97,32.44,27.21,48.61,37.02,4.0,5.0,3.0,2.0,2.0,3.0,2.0,30.0,2.0,3.0,1.0,2.0,21.0,4.0,25.0,7.0,9.0,8.0,6.0,19.0,9.0,34.0,0.0,1.0,1.0,1.0,28.0,1.0,18.0,5.0,6.0,4.0,4.0,6.0,6.0
NS00079,31.38,26.84,10.53,28.22,19.75,41.37,27.38,62.43,47.29,31.02,45.83,42.37,68.09,55.06,57.99,46.97,39.55,47.41,40.1,56.11,49.37,79.3,59.33,59.45,70.91,70.54,84.59,73.74,52.95,36.69,26.96,39.01,31.14,50.78,41.12,6.0,7.0,5.0,4.0,3.0,4.0,4.0,33.0,8.0,5.0,6.0,4.0,26.0,10.0,31.0,9.0,10.0,12.0,8.0,24.0,11.0,48.0,3.0,4.0,6.0,3.0,44.0,5.0,24.0,8.0,8.0,9.0,5.0,7.0,8.0
NS00058,37.6,41.84,27.57,47.49,42.96,49.64,44.18,63.1,61.47,44.81,59.99,59.89,68.76,62.72,58.57,54.85,45.72,56.24,50.34,56.47,55.12,81.16,77.13,72.42,83.3,83.7,86.67,83.45,54.8,48.69,38.12,52.75,47.58,54.78,51.45,12.0,19.0,12.0,22.0,12.0,8.0,14.0,35.0,17.0,12.0,19.0,12.0,27.0,20.0,32.0,14.0,14.0,22.0,11.0,24.0,16.0,71.0,30.0,15.0,41.0,15.0,70.0,28.0,28.0,17.0,12.0,22.0,12.0,11.0,14.0
NS00040,38.5,43.88,31.53,51.6,48.66,51.27,47.62,62.92,64.55,47.68,62.43,63.71,68.61,64.11,59.16,56.15,46.88,57.84,52.26,56.59,56.31,81.16,78.45,73.27,84.42,85.01,86.66,84.25,55.35,50.48,40.55,55.5,51.29,55.57,53.55,13.0,21.0,14.0,29.0,15.0,9.0,17.0,35.0,22.0,14.0,24.0,15.0,27.0,24.0,33.0,15.0,14.0,25.0,12.0,25.0,17.0,71.0,38.0,17.0,46.0,19.0,70.0,34.0,29.0,19.0,14.0,27.0,14.0,13.0,16.0
NS00024,39.85,43.95,39.66,57.78,56.75,54.32,51.99,63.0,64.21,54.23,66.8,69.14,68.86,65.83,61.1,58.82,51.79,61.88,57.84,58.69,59.76,80.73,74.46,72.6,83.93,84.68,86.2,83.45,56.91,51.64,46.93,60.49,58.0,57.97,57.24,15.0,21.0,20.0,42.0,20.0,12.0,20.0,35.0,21.0,19.0,33.0,19.0,27.0,28.0,37.0,17.0,20.0,36.0,16.0,29.0,23.0,62.0,22.0,16.0,44.0,18.0,58.0,28.0,33.0,20.0,20.0,39.0,18.0,19.0,22.0
BS00059,44.23,61.8,59.13,70.86,57.19,62.92,61.59,64.25,68.01,63.28,76.48,69.92,71.17,68.95,66.56,73.27,66.71,73.56,70.95,65.05,70.11,81.81,78.89,78.46,87.83,85.32,87.49,85.64,61.56,67.39,63.68,72.62,64.83,65.07,66.73,22.0,54.0,59.0,69.0,21.0,23.0,35.0,39.0,27.0,35.0,54.0,20.0,38.0,35.0,60.0,50.0,54.0,65.0,36.0,53.0,53.0,83.0,41.0,36.0,65.0,20.0,86.0,47.0,46.0,51.0,56.0,67.0,27.0,34.0,44.0
BS00043,48.99,56.15,54.77,67.67,57.88,62.64,60.15,63.68,67.07,62.19,75.12,71.84,70.06,68.55,64.57,72.37,61.34,69.49,67.74,62.51,67.48,81.97,81.0,78.11,87.07,86.74,87.78,86.17,61.27,63.99,58.87,69.14,63.62,63.66,64.75,36.0,39.0,46.0,62.0,22.0,22.0,32.0,37.0,25.0,32.0,51.0,24.0,32.0,34.0,49.0,45.0,37.0,54.0,30.0,40.0,42.0,86.0,55.0,34.0,61.0,25.0,90.0,54.0,45.0,40.0,40.0,58.0,25.0,31.0,37.0
BS00030,47.68,54.02,49.64,65.84,59.64,62.98,59.42,64.05,67.36,57.71,73.55,70.43,70.52,68.23,62.44,71.28,55.97,66.62,64.55,60.27,65.0,82.04,78.38,78.57,86.35,86.53,87.92,85.74,59.66,62.42,53.61,66.82,62.74,62.8,63.14,32.0,35.0,33.0,59.0,25.0,24.0,31.0,38.0,25.0,25.0,49.0,22.0,34.0,34.0,41.0,43.0,27.0,48.0,23.0,34.0,36.0,87.0,37.0,37.0,57.0,24.0,92.0,48.0,40.0,36.0,29.0,54.0,23.0,29.0,32.0
BS00018,45.38,54.17,41.63,63.41,60.44,63.86,58.72,64.47,68.48,50.71,71.53,68.24,71.22,67.83,60.54,71.78,50.39,64.43,61.67,58.49,63.07,81.92,76.68,78.07,85.23,86.34,87.85,85.2,57.99,62.77,46.9,64.54,61.54,62.43,61.82,25.0,35.0,23.0,54.0,25.0,25.0,30.0,41.0,28.0,16.0,44.0,18.0,38.0,33.0,36.0,44.0,18.0,43.0,20.0,29.0,32.0,85.0,29.0,34.0,50.0,23.0,91.0,43.0,36.0,37.0,20.0,49.0,21.0,29.0,29.0
BS00010,45.38,54.17,41.63,63.41,60.44,63.86,58.72,64.47,68.48,50.71,71.53,68.24,71.22,67.83,60.54,71.78,50.39,64.43,61.67,58.49,63.07,81.92,76.68,78.07,85.23,86.34,87.85,85.2,57.99,62.77,46.9,64.54,61.54,62.43,61.82,25.0,35.0,23.0,54.0,25.0,25.0,30.0,41.0,28.0,16.0,44.0,18.0,38.0,33.0,36.0,44.0,18.0,43.0,20.0,29.0,32.0,85.0,29.0,34.0,50.0,23.0,91.0,43.0,36.0,37.0,20.0,49.0,21.0,29.0,29.0
BS00005,45.38,54.17,41.63,63.41,60.44,63.86,58.72,64.47,68.48,50.71,71.53,68.24,71.22,67.83,60.54,71.78,50.39,64.43,61.67,58.49,63.07,81.92,76.68,78.07,85.23,86.34,87.85,85.2,57.99,62.77,46.9,64.54,61.54,62.43,61.82,25.0,35.0,23.0,54.0,25.0,25.0,30.0,41.0,28.0,16.0,44.0,18.0,38.0,33.0,36.0,44.0,18.0,43.0,20.0,29.0,32.0,85.0,29.0,34.0,50.0,23.0,91.0,43.0,36.0,37.0,20.0,49.0,21.0,29.0,29.0
MD00347,3.86,29.24,0.0,20.4,1.91,17.0,14.48,40.17,34.49,8.44,34.33,16.59,47.16,35.13,7.24,22.31,0.0,15.34,2.19,13.84,10.07,68.44,62.69,39.04,66.17,52.69,76.1,63.36,11.15,26.72,0.31,18.98,2.78,18.14,13.85,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MD00294,3.86,29.24,0.0,20.4,1.91,17.0,14.48,40.17,34.49,8.44,34.33,16.59,47.16,35.13,7.24,22.31,0.0,15.34,2.19,13.84,10.07,68.44,62.69,39.04,66.17,52.69,76.1,63.36,11.15,26.72,0.31,18.98,2.78,18.14,13.85,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MD00243,5.71,26.21,0.35,19.64,2.94,17.02,14.1,40.45,32.46,8.52,33.1,17.81,47.53,35.02,13.94,25.81,5.19,19.11,8.49,19.69,15.58,68.93,60.55,41.93,66.29,55.9,76.53,64.4,15.89,26.52,3.26,20.41,6.47,20.91,16.57,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MD00193,8.64,10.16,1.53,13.43,4.9,12.72,9.23,40.74,20.49,10.6,27.81,20.25,47.53,33.1,27.54,26.71,17.72,25.51,22.26,31.37,25.82,70.68,48.03,48.66,64.09,63.24,77.85,65.64,25.31,17.85,10.59,20.47,14.4,24.41,19.82,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
MD00148,0.0,0.0,1.24,6.12,0.76,3.25,1.73,39.1,11.07,14.47,26.32,15.69,44.57,29.9,2.64,0.26,2.76,8.79,1.0,9.25,3.36,70.52,38.34,39.78,58.35,53.05,77.27,59.86,7.19,0.7,2.55,8.99,1.63,9.49,4.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD00107,0.0,0.0,1.24,6.12,0.76,3.25,1.73,39.1,11.07,14.47,26.32,15.69,44.57,29.9,2.64,0.26,2.76,8.79,1.0,9.25,3.36,70.52,38.34,39.78,58.35,53.05,77.27,59.86,7.19,0.7,2.55,8.99,1.63,9.49,4.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
